,carat,depth,table,price,x,y,z
30160,0.4,63.3,57.0,720,4.68,4.71,2.97
23550,1.51,63.0,61.0,11560,7.27,7.3,4.59
43892,0.3,61.8,56.0,508,4.31,4.33,2.67
44697,0.54,61.3,55.0,1613,5.24,5.26,3.22
41641,0.4,61.8,56.0,1238,4.77,4.74,2.94
33754,0.31,62.2,53.0,840,4.35,4.37,2.71
52123,0.7,61.5,59.0,2464,5.7,5.74,3.52
31070,0.33,61.7,59.0,752,4.39,4.42,2.72
27957,0.27,62.0,56.0,432,4.16,4.19,2.59
24580,2.48,62.3,57.0,12883,8.64,8.58,5.36
9143,1.0,63.3,56.0,4538,6.27,6.36,4.0
19005,1.26,61.4,56.0,7824,6.99,6.93,4.27
27798,0.37,60.8,57.0,649,4.61,4.66,2.82
1994,0.81,60.3,59.0,3097,5.98,6.05,3.63
5238,1.02,65.3,58.0,3787,6.33,6.22,4.1
31404,0.3,61.7,54.0,764,4.32,4.34,2.67
5528,1.01,58.8,57.0,3853,6.57,6.63,3.88
49532,0.6,60.4,57.0,2125,5.53,5.49,3.33
49444,0.7,61.6,53.0,2110,5.73,5.76,3.54
46880,0.53,62.1,56.0,1813,5.2,5.17,3.22
13301,1.05,62.2,56.0,5494,6.49,6.56,4.06
22057,1.74,62.3,57.0,10085,7.8,7.7,4.83
34573,0.31,61.9,56.0,871,4.33,4.35,2.68
36949,0.28,58.5,61.0,480,4.27,4.31,2.51
9023,1.04,61.9,57.0,4515,6.49,6.46,4.01
39488,0.41,62.2,57.0,1079,4.74,4.78,2.96
43750,0.51,62.3,59.0,1438,5.07,5.1,3.17
45625,0.61,60.9,56.0,1692,5.45,5.51,3.34
19719,1.5,62.7,57.0,8291,7.21,7.3,4.55
11968,1.05,60.2,62.0,5139,6.57,6.52,3.94
7520,1.01,61.9,60.0,4242,6.43,6.4,3.97
27867,0.38,61.4,57.0,653,4.64,4.67,2.86
9822,1.01,63.5,60.0,4672,6.33,6.3,4.01
39031,0.41,61.2,56.0,1056,4.77,4.81,2.93
31411,0.3,62.0,54.0,764,4.35,4.36,2.7
49139,0.51,61.6,57.0,2066,5.16,5.13,3.17
41728,0.41,62.2,54.0,1243,4.79,4.76,2.97
7182,0.9,61.2,59.0,4186,6.2,6.26,3.81
9624,1.2,63.3,56.0,4637,6.75,6.72,4.26
3625,0.73,61.4,59.0,3429,5.77,5.83,3.56
4159,1.09,61.0,56.0,3549,6.62,6.66,4.05
1422,1.04,59.9,64.0,2970,6.51,6.45,3.88
8598,1.03,65.5,58.0,4441,6.18,6.13,4.03
1613,0.72,60.3,55.0,3012,5.85,5.89,3.54
7447,1.07,58.7,64.0,4232,6.64,6.68,3.91
29915,0.33,62.3,56.0,713,4.43,4.47,2.77
5975,0.72,61.3,60.0,3951,5.74,5.71,3.51
18744,1.24,62.0,59.0,7660,6.88,6.92,4.28
31084,0.33,61.7,56.0,752,4.46,4.48,2.76
35163,0.4,62.2,54.0,891,4.73,4.76,2.95
21178,1.23,61.2,58.0,9333,6.93,6.87,4.22
3277,0.7,62.5,57.0,3361,5.65,5.68,3.54
34269,0.32,61.5,54.0,466,4.43,4.45,2.73
46710,0.52,62.5,56.0,1793,5.16,5.11,3.21
25495,1.57,61.7,56.0,14283,7.42,7.49,4.6
24626,1.52,61.1,57.0,12958,7.45,7.39,4.53
33242,0.41,61.2,55.0,824,4.8,4.84,2.95
5331,0.84,59.2,59.0,3809,6.18,6.21,3.67
27615,2.0,62.6,59.0,18493,8.1,8.04,5.05
43779,0.4,60.3,57.0,1441,4.81,4.78,2.89
48586,0.54,61.8,56.0,1993,5.24,5.21,3.23
108,0.81,58.8,57.0,2761,6.14,6.11,3.6
47797,0.57,60.8,56.8,1899,5.36,5.39,3.26
41303,0.56,61.9,57.0,1212,5.25,5.29,3.26
47685,0.51,61.2,59.0,1882,5.19,5.1,3.15
10731,0.33,61.0,61.0,594,4.46,4.43,2.71
13862,1.15,63.1,56.0,5646,6.62,6.7,4.2
29228,0.39,60.2,61.0,696,4.74,4.79,2.87
28201,0.4,62.9,59.0,666,4.66,4.69,2.94
24791,1.51,62.2,59.0,13163,7.28,7.34,4.55
25066,2.01,61.2,66.0,13587,8.21,8.09,4.98
21182,1.21,59.7,57.0,9335,6.94,6.92,4.14
2525,1.02,62.3,56.0,3204,6.39,6.35,3.97
49202,0.55,61.9,55.0,2079,5.3,5.24,3.25
25695,0.4,65.1,55.0,644,4.63,4.68,3.03
52190,0.77,62.4,56.0,2479,5.89,5.85,3.66
24788,1.52,61.9,56.0,13161,7.28,7.39,4.54
9667,0.7,63.2,57.0,4644,5.62,5.67,3.57
26846,2.13,60.7,60.0,16778,8.27,8.37,5.05
40289,0.3,61.9,55.0,496,4.28,4.31,2.66
7526,1.01,61.6,59.0,4242,6.44,6.39,3.95
33129,0.31,61.6,57.0,816,4.33,4.37,2.68
38263,0.31,60.6,61.0,383,4.4,4.45,2.68
13590,1.01,60.6,58.0,5559,6.54,6.49,3.95
41555,0.5,62.8,56.0,1237,5.05,5.08,3.18
9889,1.02,61.6,56.0,4684,6.52,6.49,4.01
42226,0.39,62.9,58.0,1290,4.66,4.62,2.92
17253,1.02,60.5,60.0,6906,6.53,6.49,3.94
37018,0.33,61.7,55.0,965,4.46,4.42,2.74
6983,1.01,60.1,59.0,4154,6.45,6.39,3.86
25196,1.56,62.3,53.0,13787,7.41,7.49,4.64
10376,1.2,58.5,61.0,4778,6.95,6.89,4.05
44305,0.53,61.4,58.0,1579,5.24,5.19,3.2
6750,1.0,65.7,62.0,4102,6.15,6.21,4.06
47515,0.5,61.4,56.0,1867,5.13,5.17,3.16
7487,1.02,62.0,59.0,4238,6.42,6.33,3.95
24938,2.17,62.3,60.0,13395,8.33,8.2,5.15
47485,0.83,61.8,57.0,1863,6.08,5.99,3.73
19733,1.52,60.9,57.0,8299,7.5,7.44,4.55
47324,0.23,61.3,58.0,530,3.93,3.97,2.42
1113,0.8,62.0,55.0,2915,5.94,6.01,3.7
45284,0.52,61.2,56.0,1662,5.19,5.22,3.18
19181,1.06,61.6,56.3,7934,6.53,6.56,4.03
21039,0.31,62.4,58.0,625,4.28,4.31,2.68
10760,1.01,69.5,55.0,4853,6.0,5.94,4.15
30971,0.39,61.4,57.0,746,4.72,4.66,2.88
11713,0.34,61.8,56.0,596,4.48,4.52,2.78
15223,1.62,64.2,62.0,6112,7.33,7.41,4.73
1463,0.64,58.6,61.0,2980,5.69,5.71,3.34
43309,0.51,62.7,59.0,1402,5.04,5.07,3.17
36756,0.38,61.7,55.0,955,4.65,4.7,2.89
46190,0.52,61.0,57.0,1749,5.16,5.2,3.16
32730,0.31,62.6,57.0,802,4.33,4.29,2.7
8403,1.06,60.1,59.0,4401,6.65,6.63,3.99
45270,0.54,62.0,55.0,1662,5.21,5.24,3.24
11093,1.03,61.9,56.0,4928,6.46,6.5,4.01
16086,1.08,60.5,57.0,6426,6.63,6.67,4.02
33345,0.41,62.6,58.0,827,4.71,4.74,2.96
26337,1.55,60.1,58.0,15845,7.56,7.54,4.54
3631,0.71,61.7,57.0,3431,5.7,5.75,3.53
7201,1.04,64.1,57.0,4190,6.35,6.38,4.08
37603,0.24,61.3,58.0,485,3.99,4.03,2.46
15659,1.21,60.3,60.0,6279,6.89,6.93,4.17
16384,1.04,62.8,56.0,6542,6.48,6.42,4.05
6734,0.31,61.2,55.0,578,4.41,4.44,2.7
15136,1.26,62.9,59.0,6085,6.85,6.82,4.3
47117,0.59,61.0,56.0,1828,5.41,5.44,3.31
34182,0.33,62.2,58.0,854,4.42,4.39,2.74
16059,1.01,61.0,57.0,6416,6.38,6.5,3.93
32459,0.36,61.5,55.0,794,4.58,4.62,2.83
27592,2.06,61.5,58.0,18439,8.2,8.15,5.03
49747,0.71,64.0,61.0,2156,5.61,5.54,3.57
42072,0.55,63.3,56.0,1272,5.21,5.24,3.31
4543,1.0,63.3,54.0,3640,6.39,6.34,4.03
42634,0.58,62.1,55.0,1332,5.38,5.35,3.33
21406,1.39,61.9,52.0,9519,7.24,7.25,4.48
48229,0.57,61.6,56.0,1949,5.38,5.33,3.3
51038,0.73,62.0,57.0,2329,5.79,5.76,3.58
7935,1.08,63.2,57.0,4318,6.54,6.5,4.12
26735,2.11,60.3,61.0,16512,8.29,8.22,4.98
2798,0.76,60.4,58.0,3261,5.91,5.97,3.59
10734,0.33,61.5,57.0,594,4.49,4.42,2.74
33726,0.43,62.8,58.0,839,4.85,4.83,3.04
17894,1.21,62.3,58.0,7223,6.84,6.77,4.24
25874,2.47,62.5,56.0,14970,8.65,8.6,5.39
19339,3.01,62.7,58.0,8040,9.1,8.97,5.67
19395,1.1,62.0,58.0,8060,6.59,6.64,4.1
39760,0.53,61.5,56.0,1094,5.21,5.23,3.21
44566,0.52,63.3,58.0,1605,5.15,5.12,3.25
41885,0.54,61.1,55.0,1259,5.27,5.31,3.23
33053,0.3,61.5,58.0,814,4.3,4.32,2.65
21056,0.31,61.8,59.0,625,4.31,4.33,2.67
15623,1.0,57.4,58.0,6268,6.57,6.64,3.79
30680,0.4,62.2,55.0,737,4.71,4.75,2.94
26197,1.7,62.6,61.0,15568,7.64,7.54,4.75
47251,0.52,62.8,58.0,1842,5.14,5.11,3.22
4540,1.0,59.6,62.0,3640,6.52,6.41,3.85
38663,0.42,61.8,57.0,1040,4.81,4.77,2.96
27492,2.0,62.5,58.0,18186,7.98,8.04,5.01
42970,0.41,60.9,55.0,1367,4.8,4.83,2.93
50890,0.7,61.7,58.0,2317,5.68,5.73,3.52
48236,0.46,62.0,55.0,1950,4.96,4.98,3.08
33255,0.32,61.1,55.0,825,4.44,4.46,2.72
5023,0.91,62.2,56.0,3746,6.17,6.14,3.83
39123,0.41,62.7,55.0,1061,4.79,4.75,2.99
52723,0.76,61.4,57.0,2557,5.89,5.94,3.63
48735,0.78,62.0,56.0,2012,5.93,5.87,3.66
38858,0.4,60.4,61.0,1050,4.77,4.74,2.87
9101,0.93,60.8,59.0,4527,6.24,6.27,3.8
24203,2.01,62.4,59.0,12392,8.02,8.08,5.02
50073,0.51,60.5,59.0,2203,5.17,5.15,3.12
14937,1.21,62.0,56.0,6017,6.83,6.81,4.23
44147,0.54,64.0,59.5,1563,5.12,5.17,3.3
21199,1.51,62.6,55.0,9344,7.37,7.26,4.58
26098,1.52,62.4,55.0,15348,7.32,7.42,4.6
33062,0.3,62.2,56.0,814,4.27,4.31,2.67
14349,1.14,62.0,62.0,5809,6.74,6.65,4.15
52433,0.7,62.6,56.0,2513,5.65,5.69,3.55
15552,1.28,62.6,58.0,6236,6.94,6.89,4.33
4394,0.31,63.5,58.0,571,4.27,4.3,2.72
29456,0.33,62.6,53.0,702,4.43,4.45,2.78
30649,0.4,61.9,57.0,736,4.73,4.74,2.93
4546,1.0,63.8,57.0,3640,6.32,6.28,4.02
6807,0.9,64.4,60.0,4117,5.95,6.0,3.85
30084,0.32,60.2,56.0,720,4.49,4.44,2.69
42133,0.5,61.3,60.0,1279,5.15,5.1,3.14
33917,0.3,62.9,58.0,844,4.24,4.22,2.66
42516,0.41,61.2,56.0,1323,4.78,4.82,2.94
36501,0.33,61.8,54.0,945,4.47,4.49,2.77
45276,0.54,60.3,55.0,1662,5.26,5.32,3.19
42917,0.53,63.8,58.0,1363,5.17,5.12,3.28
41988,0.43,60.9,58.0,1264,4.91,4.88,2.98
13899,1.01,59.2,60.0,5656,6.56,6.51,3.87
45002,0.57,62.0,54.0,1637,5.31,5.34,3.3
8453,1.0,62.6,57.0,4413,6.31,6.37,3.97
9603,1.01,57.4,57.0,4632,6.52,6.48,3.73
41270,0.31,63.3,59.0,502,4.24,4.29,2.7
43647,0.6,60.8,58.0,1433,5.49,5.44,3.32
15648,1.07,62.3,57.0,6274,6.56,6.47,4.06
31126,0.43,62.9,55.0,754,4.83,4.87,3.05
26154,1.53,62.5,57.0,15466,7.33,7.38,4.6
11783,1.09,64.4,60.0,5085,6.49,6.42,4.16
52518,0.7,62.8,56.0,2528,5.63,5.68,3.55
42473,0.5,61.3,56.0,1317,5.13,5.09,3.13
46746,0.72,60.6,57.0,1799,5.88,5.73,3.52
7149,1.28,59.7,57.0,4179,7.12,7.06,4.23
3304,0.8,63.2,55.0,3369,5.9,5.88,3.72
16672,1.0,62.5,55.0,6664,6.42,6.34,3.99
36610,0.32,61.7,55.0,477,4.38,4.4,2.71
23314,2.0,61.7,60.0,11355,7.95,7.9,4.89
41281,0.58,60.9,57.0,1209,5.4,5.44,3.3
21718,0.32,62.2,54.0,628,4.42,4.46,2.76
35049,0.36,62.1,56.0,884,4.58,4.6,2.85
20184,1.39,62.1,58.0,8631,7.16,7.1,4.43
18615,1.07,61.6,57.0,7593,6.59,6.55,4.05
43903,0.31,62.1,54.0,511,4.34,4.36,2.7
10708,0.96,60.7,65.0,4849,6.43,6.28,3.86
2056,0.32,60.5,59.0,561,4.41,4.42,2.67
33626,0.33,60.0,59.0,463,4.47,4.49,2.69
6142,0.9,63.1,60.0,3989,6.08,6.12,3.85
13562,1.96,66.6,60.0,5554,7.59,7.56,5.04
49571,0.64,62.2,55.0,2131,5.53,5.5,3.43
21434,1.3,62.3,55.0,9540,7.0,6.93,4.34
24786,1.51,60.8,60.0,13157,7.42,7.38,4.5
2510,1.02,62.5,60.0,3199,6.41,6.39,4.0
17259,1.02,59.8,61.0,6909,6.61,6.54,3.93
28038,0.41,62.1,53.6,659,4.75,4.79,2.96
13389,0.35,62.1,57.0,601,4.47,4.49,2.78
20205,1.55,62.0,62.0,8644,7.33,7.47,4.59
27452,1.7,61.9,55.0,18107,7.64,7.68,4.74
48457,0.73,63.1,59.0,1975,5.76,5.72,3.62
22608,2.22,61.2,63.0,10662,8.33,8.23,5.07
9014,0.91,60.0,58.0,4514,6.29,6.38,3.8
12931,1.14,62.3,56.0,5382,6.69,6.77,4.19
48474,0.66,59.8,60.9,1978,5.62,5.68,3.38
33367,0.41,62.0,56.0,827,4.74,4.78,2.95
3521,0.71,62.2,55.0,3405,5.72,5.76,3.57
6521,1.12,58.5,60.0,4066,6.83,6.89,4.01
38759,0.53,62.1,54.0,1046,5.2,5.24,3.24
26210,1.78,60.2,59.0,15601,7.96,7.83,4.75
5037,1.03,62.0,58.0,3749,6.46,6.41,3.99
40307,0.4,60.3,58.0,1125,4.82,4.8,2.9
34433,0.3,61.9,55.0,863,4.33,4.36,2.69
35755,0.39,62.3,59.0,912,4.63,4.68,2.9
48372,0.57,62.1,56.0,1963,5.34,5.29,3.3
25046,0.3,62.9,57.0,641,4.27,4.25,2.68
21636,1.63,61.7,58.0,9730,7.54,7.51,4.64
35870,0.34,60.1,57.0,918,4.54,4.58,2.74
28845,0.41,62.9,58.0,683,4.74,4.77,2.99
13599,1.2,58.9,60.0,5562,6.98,6.94,4.1
40860,0.33,61.2,55.0,1174,4.48,4.51,2.75
10710,0.31,60.4,58.0,593,4.42,4.39,2.66
52992,0.7,64.5,61.0,2595,5.43,5.52,3.53
19746,1.5,61.9,60.0,8316,7.25,7.28,4.5
44271,0.52,60.7,56.0,1576,5.2,5.24,3.17
26512,2.19,62.4,56.0,16147,8.26,8.3,5.17
2620,0.74,61.7,57.0,3226,5.79,5.85,3.59
48677,0.54,62.1,57.0,2004,5.19,5.22,3.23
10039,0.34,62.3,60.0,417,4.46,4.49,2.79
45917,0.53,61.9,56.0,1721,5.19,5.21,3.22
38161,0.34,62.3,56.0,1014,4.45,4.48,2.78
53250,0.5,62.0,55.0,2645,5.09,5.13,3.17
1661,0.9,63.1,59.0,3024,6.09,6.05,3.83
6127,0.93,62.9,57.0,3984,6.25,6.19,3.91
53385,0.7,61.7,58.0,2662,5.67,5.7,3.51
53668,0.71,61.3,56.0,2709,5.7,5.76,3.51
6974,0.76,60.6,60.0,4150,5.89,5.85,3.56
26778,2.01,59.2,62.0,16626,8.14,8.17,4.83
32791,0.33,61.9,58.0,804,4.47,4.42,2.75
23641,1.51,62.8,59.0,11666,7.31,7.28,4.58
5608,1.1,61.9,56.0,3872,6.59,6.63,4.09
33862,0.3,61.4,55.0,844,4.34,4.32,2.66
15603,1.04,62.6,53.0,6260,6.49,6.52,4.07
13601,1.15,59.2,56.0,5564,6.88,6.83,0.0
19258,1.55,61.7,54.0,7987,7.47,7.5,4.62
5298,1.0,63.4,60.0,3801,6.28,6.33,4.0
46514,0.51,61.2,55.0,1780,5.17,5.19,3.17
20119,1.22,62.2,59.0,8583,6.82,6.87,4.26
48389,0.5,62.3,59.0,1966,5.01,5.04,3.13
20600,1.01,59.9,58.0,8905,6.54,6.49,3.9
16354,0.3,62.7,59.0,608,4.27,4.22,2.66
16552,1.01,59.1,58.0,6613,6.56,6.63,3.9
29798,0.3,62.2,55.0,709,4.33,4.29,2.68
15030,0.3,61.7,57.0,605,4.3,4.32,2.66
1901,0.76,61.3,56.0,3079,5.79,5.83,3.56
14449,1.31,60.4,59.0,5832,7.16,7.05,4.29
41241,0.46,60.2,60.0,1208,5.01,4.96,3.0
50934,0.57,61.3,57.0,2319,5.38,5.29,3.27
51500,0.77,61.7,56.0,2382,5.89,5.91,3.64
10490,1.05,60.5,58.0,4797,6.55,6.6,3.98
43091,0.41,61.1,57.0,1381,4.82,4.77,2.93
19950,1.25,61.1,55.0,8498,6.94,6.97,4.25
23207,1.0,62.5,55.0,11214,6.28,6.39,3.96
33622,0.33,61.2,56.0,463,4.48,4.51,2.75
4203,0.78,61.0,55.0,3564,5.94,5.96,3.63
51700,0.7,62.4,59.0,2400,5.64,5.71,3.54
22782,1.67,61.2,57.0,10802,7.69,7.66,4.7
34999,0.38,62.0,55.0,882,4.64,4.68,2.89
53850,0.71,61.1,58.0,2742,5.71,5.77,3.51
47122,0.52,63.5,57.0,1828,5.13,5.08,3.24
14779,1.2,61.5,61.0,5947,6.84,6.78,4.19
38010,0.31,60.5,56.0,1009,4.38,4.41,2.66
22949,1.5,63.6,59.0,10995,7.13,7.22,4.56
24001,2.1,61.6,57.0,12168,8.24,8.15,5.05
49267,0.77,60.4,58.0,2089,5.96,5.99,3.61
51132,0.78,60.6,57.0,2340,5.98,5.94,3.61
17967,1.23,62.3,56.0,7260,6.86,6.79,4.25
19630,1.03,62.0,56.0,8248,6.5,6.54,4.04
42706,0.52,62.6,56.0,1338,5.16,5.13,3.22
36072,0.4,63.6,57.0,924,4.7,4.67,2.98
6313,0.91,61.0,59.0,4026,6.23,6.19,3.79
52829,0.84,62.6,58.0,2573,6.01,5.98,3.75
28364,0.4,60.3,61.0,667,4.74,4.78,2.87
27611,2.21,61.0,58.0,18483,8.36,8.43,5.12
28828,0.41,62.8,57.0,683,4.7,4.73,2.96
32537,0.27,62.2,55.0,799,4.17,4.12,2.58
1907,1.0,59.4,60.0,3080,6.49,6.4,3.83
48276,0.53,62.6,56.0,1956,5.18,5.14,3.23
38762,0.31,61.9,55.0,1046,4.38,4.41,2.72
41455,0.52,63.7,56.0,1229,5.15,5.12,3.27
15021,1.0,63.0,58.0,6048,6.4,6.33,4.01
3415,0.36,62.0,59.0,568,4.53,4.6,2.83
6981,1.03,62.3,59.0,4153,6.46,6.42,4.01
34858,0.3,63.6,57.0,878,4.3,4.26,2.72
28091,0.38,62.2,56.0,663,4.64,4.66,2.89
53155,0.73,61.7,60.0,2624,5.71,5.8,3.55
28572,0.3,62.7,55.0,675,4.3,4.25,2.68
44123,0.5,62.0,58.0,1559,5.07,5.09,3.15
40378,0.51,62.1,54.0,1131,5.12,5.16,3.19
28463,0.32,61.7,56.0,672,4.4,4.43,2.72
17889,1.07,61.4,57.0,7222,6.57,6.6,4.04
13905,1.07,62.5,56.0,5661,6.52,6.6,4.1
20549,1.01,61.5,58.0,8869,6.44,6.47,3.97
50255,0.71,63.0,54.0,2235,5.73,5.69,3.6
13262,1.0,62.2,63.0,5483,6.36,6.41,3.97
33207,0.4,61.2,56.0,820,4.77,4.81,2.93
49341,0.71,63.5,57.0,2096,5.63,5.67,3.59
19970,1.5,63.8,58.0,8518,7.2,7.16,4.58
35385,0.41,61.4,55.0,899,4.78,4.8,2.94
23522,1.54,62.1,62.0,11527,7.31,7.38,4.56
29177,0.3,61.4,56.0,694,4.32,4.35,2.66
10068,0.32,62.3,60.0,591,4.4,4.36,2.73
23048,1.5,62.0,56.0,11079,7.29,7.33,4.53
29533,0.3,59.8,59.0,704,4.3,4.43,2.61
43580,0.41,61.3,57.0,1431,4.79,4.77,2.93
35098,0.3,62.2,56.0,886,4.31,4.34,2.69
34471,0.38,59.2,60.0,866,4.73,4.77,2.81
21186,1.2,62.1,58.0,9337,6.74,6.78,4.2
12436,1.04,61.8,55.0,5242,6.5,6.54,4.03
11504,1.0,61.9,59.0,5020,6.35,6.38,3.94
47273,0.5,62.4,54.0,1844,5.1,5.13,3.19
47693,0.5,62.2,55.0,1883,5.09,5.11,3.17
34316,0.31,61.4,56.0,859,4.37,4.4,2.69
14416,1.05,58.6,60.0,5821,6.73,6.66,3.92
25269,1.79,61.3,57.0,13908,7.86,7.81,4.8
25398,1.52,62.1,58.0,14105,7.4,7.31,4.57
47816,0.71,58.2,60.0,1902,5.91,5.88,3.43
1603,0.7,62.7,55.0,3011,5.66,5.69,3.56
4803,1.01,63.6,54.0,3699,6.44,6.36,4.07
6411,1.13,59.4,62.0,4040,6.83,6.78,4.04
46391,0.37,61.3,56.0,1764,4.6,4.63,2.83
22596,1.23,60.8,57.0,10646,6.89,6.92,4.2
36132,0.33,61.3,55.0,928,4.48,4.46,2.74
665,0.73,59.1,59.0,2846,5.92,5.95,3.51
18464,1.07,62.0,56.0,7513,6.51,6.55,4.05
19291,1.02,61.0,56.0,8011,6.49,6.52,3.97
43693,0.5,62.2,59.0,1436,5.06,5.1,3.16
38130,0.3,63.4,56.0,1013,4.31,4.27,2.72
18474,1.05,61.6,58.0,7521,6.53,6.56,4.03
18607,1.54,61.2,59.0,7589,7.45,7.41,4.55
3018,0.71,61.7,57.0,3307,5.72,5.74,3.53
23925,1.74,61.9,58.0,12052,7.73,7.67,4.77
33758,0.4,64.7,55.0,840,4.68,4.65,3.02
20030,0.3,62.9,56.0,421,4.28,4.31,2.7
38889,0.4,62.3,57.0,1050,4.73,4.68,2.93
6317,0.94,62.4,58.0,4027,6.33,6.26,3.93
22895,1.56,62.2,58.0,10934,7.37,7.42,4.6
15526,1.01,63.7,56.0,6221,6.27,6.29,4.0
49409,0.7,61.8,56.0,2106,5.7,5.76,3.54
16149,1.31,64.3,58.7,6455,6.84,6.87,4.41
38070,0.3,61.8,58.0,1013,4.29,4.26,2.64
45834,0.5,61.0,61.0,1714,5.07,5.12,3.11
36548,0.4,62.2,57.0,945,4.72,4.67,2.92
33494,0.32,62.1,59.0,828,4.41,4.35,2.72
12559,1.01,59.8,61.0,5277,6.45,6.49,3.87
42585,0.52,63.0,54.0,1330,5.11,5.15,3.23
38510,0.5,65.7,57.0,1031,4.97,4.9,3.24
47036,0.55,61.7,57.0,1819,5.29,5.24,3.25
18379,0.4,64.2,57.0,617,4.68,4.7,3.01
1363,1.05,61.4,58.0,2964,6.53,6.46,3.99
45028,0.54,61.0,60.0,1637,5.24,5.18,3.18
29026,0.31,61.6,55.0,687,4.37,4.4,2.7
39296,0.3,62.3,57.0,491,4.27,4.3,2.67
10542,1.01,62.6,56.0,4808,6.42,6.36,4.0
50525,0.71,62.7,58.0,2274,5.7,5.72,3.58
52703,0.7,57.1,62.0,2553,5.89,5.94,3.38
5285,0.71,61.9,56.0,3799,5.66,5.72,3.53
33068,0.32,62.6,54.0,814,4.38,4.4,2.75
19625,1.51,61.0,56.0,8243,7.29,7.37,4.47
28476,0.32,62.1,56.0,672,4.4,4.36,2.72
53410,0.7,62.2,58.0,2669,5.63,5.59,3.49
26378,2.24,62.1,57.0,15852,8.31,8.4,5.19
15864,1.01,61.1,57.0,6346,6.5,6.47,3.96
37195,0.41,61.5,57.0,974,4.77,4.81,2.95
39689,0.4,60.8,59.0,1088,4.72,4.76,2.88
40539,0.36,61.0,59.0,1148,4.6,4.55,2.79
51013,0.74,63.0,57.0,2327,5.72,5.77,3.62
42194,0.6,60.8,58.0,1286,5.44,5.39,3.29
21541,1.52,60.9,59.0,9642,7.43,7.49,4.54
16144,1.28,62.8,57.0,6451,6.92,6.87,4.33
42009,0.59,61.9,59.0,1265,5.43,5.34,3.33
17292,1.3,62.4,56.0,6928,7.03,6.95,4.36
9360,0.32,61.3,55.0,589,4.39,4.42,2.7
18073,1.33,61.9,58.0,7302,7.04,6.98,4.34
5709,0.25,61.8,58.0,575,4.05,4.07,2.51
7725,0.26,61.9,58.0,580,4.11,4.1,2.54
6348,1.5,61.5,58.0,4032,7.38,7.2,4.5
24795,1.55,61.5,56.0,13171,7.36,7.4,4.54
14659,1.52,65.8,57.0,5916,7.18,7.11,4.7
2953,0.7,60.7,56.0,3295,5.77,5.82,3.52
31558,0.38,60.1,61.0,766,4.63,4.66,2.79
19133,1.23,62.8,56.0,7900,6.76,6.84,4.27
36409,0.31,61.8,56.0,942,4.34,4.33,2.68
37019,0.33,62.7,55.0,965,4.46,4.41,2.78
22307,1.1,61.7,56.0,10350,6.63,6.67,4.1
32562,0.31,61.7,53.0,800,4.36,4.39,2.7
41502,0.58,62.7,56.0,1234,5.29,5.34,3.33
37011,0.33,59.5,60.0,965,4.55,4.52,2.7
8168,0.9,61.1,62.0,4362,6.2,6.24,3.8
116,0.8,61.7,58.0,2762,5.98,5.94,3.68
29440,0.34,61.2,57.0,701,4.5,4.54,2.76
48866,0.5,61.1,58.0,2034,5.12,5.08,3.11
23537,1.51,60.6,57.0,11540,7.46,7.45,4.52
23551,1.51,60.9,61.0,11560,7.3,7.32,4.45
9090,0.9,62.1,57.0,4523,6.18,6.25,3.86
14598,1.23,63.9,56.0,5889,6.81,6.77,4.34
38450,0.31,62.4,56.0,1028,4.37,4.35,2.72
50600,0.82,61.2,58.0,2283,6.04,5.99,3.68
5856,1.0,58.7,58.0,3920,6.55,6.51,3.83
1813,0.65,59.9,58.0,3056,5.63,5.69,3.39
8494,0.9,61.9,62.0,4419,6.15,6.17,3.81
52674,0.72,61.4,57.0,2550,5.83,5.77,3.56
8955,1.02,63.8,55.0,4501,6.37,6.4,4.07
24733,1.51,60.2,60.0,13075,7.41,7.44,4.47
27689,1.72,61.8,60.0,18730,7.65,7.68,4.74
10345,1.01,62.3,62.0,4769,6.39,6.35,3.97
24491,2.03,63.1,59.0,12765,8.12,7.99,5.08
52857,0.72,62.1,57.0,2578,5.69,5.75,3.55
5685,1.01,59.6,62.0,3886,6.54,6.49,3.88
51246,0.7,63.3,57.0,2354,5.64,5.6,3.56
44816,0.5,62.5,58.0,1624,5.07,5.11,3.18
10113,1.02,63.2,59.0,4718,6.41,6.37,4.04
50897,0.73,64.6,59.0,2317,5.69,5.64,3.66
10200,1.08,62.7,57.0,4740,6.48,6.51,4.07
3894,0.77,61.2,59.0,3489,5.86,5.91,3.6
47396,0.54,60.5,58.0,1847,5.27,5.21,3.17
46211,0.51,62.5,54.0,1751,5.13,5.15,3.21
53161,0.81,62.3,57.0,2626,5.93,5.98,3.71
10841,1.16,61.8,58.0,4872,6.81,6.75,4.19
44493,0.52,62.0,56.0,1598,5.14,5.2,3.21
37264,0.29,61.4,61.0,481,4.22,4.25,2.6
21229,1.6,62.0,55.0,9376,7.53,7.59,4.69
32563,0.31,61.3,55.0,800,4.4,4.43,2.7
49811,0.5,60.4,56.0,2165,5.16,5.21,3.13
50684,0.62,58.9,64.0,2288,5.62,5.55,3.29
2880,0.7,61.1,57.0,3278,5.73,5.75,3.51
53889,0.8,62.2,56.0,2749,5.95,5.91,3.69
7271,1.04,60.9,58.0,4200,6.52,6.58,3.99
900,0.73,62.6,60.0,2876,5.68,5.75,3.58
